sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:measurementUnit,ADD_INFO:sourceConceptId,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:Valuepercentiles,ADD_INFO:omopQuantity,ADD_INFO:testNameAbbreviation
e-mcv[fl],e-mcv[fl],4330862,,0,APPROVED,,FinOMOP,1717545600000,3024731,MCV [Entitic volume],Measurement,,,Javier,1717545600000,,fl,2002402146,"E -Erytrosyytit, keskitilavuus",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 84, 86, 88, 89, 91, 92, 93, 95, 98,_ ]",Entitic volume,e-mcv
e-mch[pg],e-mch[pg],4324399,,0,APPROVED,,FinOMOP,1717545600000,3035941,MCH [Entitic mass],Measurement,,,Javier,1717545600000,,pg,2002402127,"E -Hemoglobiini, keskimassa",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 27, 29, 29, 30, 30, 31, 31, 32, 33,_ ]",Entitic mass,e-mch
b-hb[g/l],b-hb[g/l],4303887,,0,APPROVED,,FinOMOP,1717545600000,3000963,Hemoglobin [Mass/volume] in Blood,Measurement,,,Javier,1717545600000,,g/l,2002401079,B -Hemoglobiini,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 100, 112, 120, 127, 132, 136, 141, 146, 154,_ ]",Mass Concentration,b-hb
b-eryt[e12/l],b-eryt[e12/l],3822310,,0,APPROVED,,FinOMOP,1717545600000,3026361,Erythrocytes [#/volume] in Blood,Measurement,,,Javier,1717545600000,,e12/l,2002401001,B -Erytrosyytit,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 3.38, 3.78, 4.04, 4.24, 4.4, 4.57, 4.7, 4.9, 5.13,_ ]",Number Concentration,b-eryt
b-trom[e9/l],b-trom[e9/l],3733189,,0,APPROVED,,FinOMOP,1717545600000,3007461,Platelets [#/volume] in Blood,Measurement,,,Javier,1717545600000,,e9/l,2002401523,B -Trombosyytit,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 158, 190, 212, 231, 249, 269, 292, 322, 373,_ ]",Number Concentration,b-trom
b-leuk[e9/l],b-leuk[e9/l],3692427,,0,APPROVED,,FinOMOP,1717545600000,3010813,Leukocytes [#/volume] in Blood,Measurement,,,Javier,1717545600000,,e9/l,2002401254,B -Leukosyytit,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 4.5, 5.2, 5.8, 6.3, 6.9, 7.6, 8.4, 9.6, 11.7,_ ]",Number Concentration,b-leuk
e-mchc[g/l],e-mchc[g/l],3169213,,0,APPROVED,,FinOMOP,1717545600000,3003338,MCHC [Mass/volume],Measurement,,,Javier,1717545600000,,g/l,2002402135,"E -Hemoglobiini, keskimassakonsentraatio",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 316, 322, 326, 329, 332, 335, 338, 342, 347,_ ]",Mass Concentration,e-mchc
p-krea[umol/l],p-krea[umol/l],2980408,,0,APPROVED,,FinOMOP,1717545600000,3020564,Creatinine [Moles/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,umol/l,2002404488,P -Kreatiniini,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 5, 52, 59, 65, 70, 75, 81, 88, 100, 126,_ ]",Substance Concentration,p-krea
p-k[mmol/l],p-k[mmol/l],2832956,,0,APPROVED,,FinOMOP,1717545600000,3023103,Potassium [Moles/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,mmol/l,2002404418,P -Kalium,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 3.5, 3.7, 3.8, 3.9, 4, 4.1, 4.2, 4.3, 4.5,_ ]",Substance Concentration,p-k
e-rdw[%],e-rdw[%],2587085,,0,APPROVED,,FinOMOP,1717545600000,3002385,Erythrocyte distribution width [Ratio],Measurement,,,Javier,1717545600000,,%,2002402162,E -Punasolujen kokojakauma,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 12.2, 13, 13, 13.2, 14, 14, 15, 15.2, 17,_ ]",Ratio,e-rdw
b-hkr[%],b-hkr[%],1841478,,0,APPROVED,,FinOMOP,1717545600000,3009542,Hematocrit [Volume Fraction] of Blood,Measurement,,,Javier,1717545600000,,%,2002401166,"B -Erytrosyytit, tilavuusosuus",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 30, 34, 37, 38, 40, 41, 42, 44, 46,_ ]",Volume Fraction,b-hkr
p-crp[mg/l],p-crp[mg/l],1724430,,0,APPROVED,,FinOMOP,1717545600000,3020460,C reactive protein [Mass/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,mg/l,2002404146,P -C-reaktiivinen proteiini,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 3, 5, 8, 13, 22, 34, 53, 81, 133,_ ]",Mass Concentration,p-crp
p-alat[u/l],p-alat[u/l],1695458,,0,APPROVED,,FinOMOP,1717545600000,3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,u/l,2002403986,P -Alaniiniaminotransferaasi,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 13, 15, 18, 21, 24, 27, 33, 41, 61,_ ]",Catalytic Concentration,p-alat
pt-gfreepi[ml/min/173m2],pt-gfreepi[ml/min/173m2],1035192,,0,APPROVED,,FinOMOP,1717545600000,40764999,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",Measurement,,,Javier,1717545600000,,ml/min/173m2,2002405201,"Pt-Glomerulussuodosnopeus, estimoitu, CKD-EPI-kaava",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 1, 41, 56, 67, 75, 82, 88, 93, 100, 110,_ ]",Volume Rate/Area,pt-gfreepi
p-afos[u/l],p-afos[u/l],849913,,0,APPROVED,,FinOMOP,1717545600000,3035995,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,u/l,2002403977,P -Alkalinen fosfataasi,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 7, 49, 57, 63, 69, 76, 84, 94, 111, 156,_ ]",Catalytic Concentration,p-afos
fp-gluk[mmol/l],fp-gluk[mmol/l],786657,,0,APPROVED,,FinOMOP,1717545600000,3018251,Fasting glucose [Moles/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,mmol/l,2002402396,"Glukoosi-paketti, Heinola",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 5, 5.2, 5.4, 5.6, 5.8, 6, 6.3, 6.7, 7.7,_ ]",Substance Concentration,fp-gluk
b-hba1c[mmol/mol],b-hba1c[mmol/mol],695031,,0,APPROVED,,Tarja,1717545600000,3004410,Hemoglobin A1c/Hemoglobin.total in Blood,Measurement,,,Javier,1717545600000,,mmol/mol,2002401118,Hemoglobiini-A1c-paketti,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 5, 33, 35, 36, 38, 39, 41, 44, 49, 60,_ ]",Mass fraction,b-hba1c
b-neut[e9/l],b-neut[e9/l],674461,,0,APPROVED,,FinOMOP,1717545600000,3013650,Neutrophils [#/volume] in Blood by Automated count,Measurement,,,Javier,1717545600000,,e9/l,2002401356,"B-Neutrofiilit,erillistutkimuksena",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 1.68, 2.27, 2.71, 3.16, 3.6, 4.11, 4.79, 5.7, 7.49,_ ]",Number Concentration,b-neut
fp-kol-ldl[mmol/l],fp-kol-ldl[mmol/l],661738,,0,APPROVED,,FinOMOP,1717545600000,3001308,Cholesterol in LDL [Moles/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,mmol/l,2002402450,"fP-kolesteroli, low density lipoproteiinit",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 1.6, 1.94, 2.2, 2.5, 2.76, 3, 3.3, 3.7, 4.2,_ ]",Substance Concentration,fp-kol-ldl
